Nome;Documento;Idade;Curso;Modalidade
Ariovaldo Wander;575.515.299-C;18;MB;B1
Jose Luiz Giannini Berger;183.999.516;19;AC;B1
Maura Felix Marini;104.983.402-B;17;MC;C2
Osvaldo Mangini;162.503.535-Y;17;FL;C1
Heraldo Camara;830.526.541;15;MC;C2
Ivanildo Simoes;931.213.181-B;15;EM;B1
Lavinia Fleury;964.605.438-Y;16;MB;A1
Vinicius Mamede Burrel Harrison Bretzel;713.471.138-Z;20;EA;C2
Cristiana Boldrini;917.693.233-A;15;NN;C1
Edivaldo Almeida Bertoni Zeppelin;98.111.149-Z;19;SL;B2
Elisio Camara Brancaleone Melo;394.723.404-C;20;EA;A2
Maria Benta Carvalho;58.735.830-X;17;AR;C1
Aloisio Tartini Pinto;188.343.405-X;18;MA;A2
Vitorina Harrison;851.933.975-C;15;MB;A2
Albertina Teixeira Xavier Vicentini;267.339.563-C;18;NH;C1
Johnny Maia Lessa;420.850.395;15;NL;C1
Mateus Modenesi;15.836.849-B;17;EE;B2
Augusto Camara Mamede Starkey;750.103.125-X;16;FB;A1
Romao Parente Donato;610.533.836-A;20;MB;C1
Josefina Bergamasco;234.481.196;19;EA;B2
Jose Luiz Pedrosa Pereira Melo Penna;121.184.886-X;16;EC;A2
Michel Brancaleone Borghetti Tanaka;154.899.589;16;EA;B1
Lavinia Carmignani;238.315.319;20;EE;B1
Renata do Monte Salazar;139.544.868-B;17;HL;A2
Gladys Liberatori;25.257.726;18;EQ;C2
Agata Takamoto;572.277.311-Y;16;NA;A2
Michelle Oliveira;203.226.624-A;17;CC;B2
Ramona Berger;960.761.463;17;HS;B1
Maria Cecilia Figueiredo;909.992.450-C;20;MB;B1
Renato Felix;440.341.501;15;EQ;A1
Maria Benta Carvalho;58.735.830-X;17;AR;C1
Vitorina Marini;434.536.137-Z;19;HS;A2
Silverio Mangini Marcondes Santos;900.302.764;17;EE;B1
Vitorina Magalhaes Mangini;542.251.793-A;15;NA;B1
Jorge Segall;157.326.895;18;NN;A2
Heraldo Penna Penna Pedrosa;657.128.827-A;17;MC;A1
Lana Borghetti Juliani Ferro;905.444.560-X;19;MB;A1
Jose Maria Teixeira;663.531.203;15;MC;B2
Fabiano Mandell Mussel;228.161.906-Z;18;HS;B1
Jorge Souza Amaral;265.831.487-Z;19;EE;C1
Graca Geraldo Auerbach;109.840.583;18;BE;C1
Gladys Juliani Matsumoto;56.372.753;20;SL;A1
Joao Pedro Almeida;794.321.805-A;18;AC;B1
Ernesto Geraldi Carvalhaes Bresciani Gatti;525.562.930;17;NH;C2
Guilhermina Bergamasco Silva Fagundes Martins;396.449.378-X;20;EA;B2
Isabela Mendonca;399.374.803;18;BE;A1
Lucas Tagliari Ramirez;193.130.882-Z;15;MB;C1
Jaco Camara Portinari;599.911.106;19;BE;C2
Izis Cascudo;34.651.988;16;FL;C2
Marcela Penna Mendonca;204.471.125-C;15;EA;A2
Agnes Takamoto;242.813.756;16;MA;A2
Jose Rocha Mangini;713.149.591;19;SL;B1
Maria da Graca Mandell Harrison Jurgensen Takamoto;617.171.166;16;MA;A1
Ernesto Santos Carmignani Pedrosa;271.669.232;17;EC;A1
Alexandre Carmignani;789.353.214-Y;15;NL;C2
Rosana Maciel Lotufo Rochester;754.450.659-Y;16;NA;C2
Lucas Santini;533.574.419;17;MB;B2
Tina Pedrosa Archangelo Nogueira;782.136.812;19;AC;A1
Marcos Bartolini Tucunduva;424.351.770-B;20;EQ;A2
Vitorio Vicentini Xavier Ferro;189.761.186-B;20;BE;B2
Victor da Silva Kubota;276.642.660-C;19;AR;A1
Renato Santini;660.682.170-X;19;EA;B1
Graca Leite di Giorgio;170.443.287-B;20;FL;C2
Jose Brescianni;751.707.709-C;18;ML;A1
Vera Lucia Cadete;86.951.772-A;17;MA;B1
Juliano Bartolini Watanabe;652.815.501;16;EE;C2
Aline Camara;481.999.820-Z;20;MC;A2
Ivanildo Magalhaes;930.959.228-Z;15;ML;C1
Candida Borghetti Nogueira;735.326.921;15;NL;C1
Davi van der Graaf;348.730.967-B;19;FL;C1
Flavia Maia Pereira Carvalhaes Aquino;450.818.381;20;FB;B1
Vitorio Rochester;699.139.695;16;NL;C2
Maria Benta Carvalho;58.735.830-X;17;AR;C1
Victor Amaral van der Graaf Santana dos Afonsos;762.195.414-B;20;AR;C2
Mauricio Junqueira;845.652.866;16;HS;B2
Flavio Mendonca Mantovani Brescianni;189.296.603-B;17;ML;B1
Osvaldo Yamamoto Antonioni;409.496.422;19;AR;A2
Fabio Silva Pinto Prates Maia;700.211.960-X;16;EC;C2
Elisio Ramirez;213.939.251;18;ML;A1
Izis Amaral Goes;395.548.856;16;EQ;B2
Edilene Delmiro;876.259.542;16;ML;B2
Josefina Delmiro;261.116.399;20;NL;C2
Volnei Americano Junqueira;661.330.874-C;17;AR;B2
Lucas Matsumoto;67.735.486;15;CC;A2
Renata Figueiredo;783.249.885;18;EE;B2
Agata von Zuben Souza;190.234.142-Y;18;NH;A2
Jose Maria Figueiredo;294.962.468-Y;18;HL;B2
Izis Pinto Bretzel Geraldi Acceturi;892.686.566-C;18;EE;A2
Sinval Aquino Santana Bertoni Rupp;830.962.648;18;EA;C2
Carla Abravanel;580.854.437-B;20;NA;C2
Jose Pedro Rochester;816.488.138-Y;20;ML;C2
Edilene Carvalhaes Leite;392.824.666-A;18;HL;B1
Mauricio Magalhaes;193.234.305;18;NH;A2
Ernesto Santos Carmignani Pedrosa;271.669.232;17;EC;A1
Lara Mamede;35.942.211;16;AR;A2
Angela Geraldo;817.169.285-Z;19;EC;A1
Willian Corracini;794.123.580-B;20;NA;B2
Ernesto Gatti;119.538.512;15;EA;A1
Petra Fleury;608.757.139-A;19;MB;B2
Luiz Ignacio Ferro von Zuben;123.474.403-X;17;NA;A1
Maicol Doval;789.496.177;17;AR;A1
Renato Nogueira Bretzel;205.652.569;15;FL;B1
Pedro Luiz Zeppelin;884.952.288-Y;17;FB;C1
Humberto Simionato;701.183.727;16;NL;A2
Silverio Goes Bartolini;340.739.546;19;EA;C2
Michelle Oliveira Antonioni Magalhaes;491.158.513-Z;19;EE;A1
Heraldo Agostinho Santos;494.279.957;17;ML;C1
Lorella Segall Boldrini;761.205.711-Y;17;FB;A1
Edvaldo Magalhaes;806.108.521-A;16;NA;B1
Maria da Graca Apolinario;432.535.301;18;HL;C2
Flavio van der Graaf;547.799.567-A;16;NA;A2
Juliana von Zuben Corsini Fonseca;840.274.596-X;16;BE;A2
Antonio Candido Tagliari;730.238.139-Y;18;BE;B2
Ernesto Lacerda;407.752.976-Z;20;MB;B1
Joao Carlos Motoyama;213.280.578-Y;18;MC;C2
Johnny Salazar;789.873.310-X;17;EE;A1
Jose Osvaldo Russeldorf dos Santos;6.259.753;20;EC;C2
Augusto Rochester Bertoncini Mantovani Matheny;483.723.476-Y;18;EQ;C2
Pedro Auerbach;884.682.663;20;EQ;A2
Volnei Martins;157.300.598-Z;15;EA;B2
Jaco Abravanel;222.997.499;17;NN;B1
Thiago Burrel Penha;133.535.542;17;NH;C1
Graca Ferracini Amaral;254.461.609-A;19;EA;B1
Agnes Jurgensen;674.166.755-A;17;MC;A1
Vinicius dos Afonsos;308.696.313;16;EQ;A1
Izis Cadete;983.459.221;17;BE;A2
Valdivino Giannini Pini Russeldorf;94.333.569;16;NN;A2
Joao Marcos Juliani Modenesi;741.279.261-C;18;EQ;C2
Olivia Boldrini;746.172.821-Y;15;NH;A2
Elisio da Mata;84.648.931;16;BE;C1
Nilson Maia;134.603.129-X;18;MC;B2
Renata Silva Pinto dos Reis Almeida Romancini;224.209.468-Z;18;BE;C2
Regina Macedo;749.998.531;17;MA;C1
Jaco di Giorgio Silva Pinto;252.528.111;17;CC;C2
Rodrigo Santos Teixeira Henriques Geraldi;637.390.312;17;EE;A1
Ricarda da Silva;136.477.947-A;15;FB;A2
Guilhermina Parente;739.561.801;16;ML;C1
Jose Roberto Burrel;723.682.786-B;15;FL;B1
Candida Berger;384.787.385;18;EM;A2
Mateus de Oliveira Ramirez;716.383.825-C;18;BE;B2
Adalberto di Giorgio;599.486.548;18;MC;A2
Fabiano Almeida;850.678.912;15;EA;C1
Alexandre Tucunduva;83.997.603;18;BE;B1
Josefina Doval Mandell;296.487.583-A;19;HL;C2
Marco Aurelio Simon;535.892.777-Z;19;NN;B1
Flavio Motoyama;267.987.414-A;18;SL;B1
Daniel Matheny;839.174.921-A;18;NH;B2
Josefina Aquino;621.725.871;18;ML;A2
Renato Acceturi;104.574.598-X;16;SL;C2
George Santos;415.488.922;18;HL;B2
Joao Marcos Romano;787.228.333;19;NN;B2
Cristian Pereira Penna Giannini Bergamasco;166.730.700-B;20;EM;B2
Vera Lucia Mangini;978.106.719;18;HL;B2
Martin Rupp;690.913.391;17;HS;A2
Michel Levi;898.632.831;18;NA;A2
Divina Pini;975.995.688-Z;20;EM;A2
Rafaela Carvalho Maia;673.786.584;17;EQ;A2
Isabel Doval;807.443.455;16;HL;C2
Vitoria Matsui Amaral Ferracini;917.660.151-Y;18;EE;C2
Edvaldo Oliveira;43.299.195-X;19;AR;A2
Luiz Antonio Cunhado Bruni Burrel Takamoto;509.259.740-Z;15;MC;C1
Joana Yakoub Mussel;312.212.330-Z;18;EC;C1
Agnes Archangelo;377.244.643-A;18;FL;C2
Humberto Rupp;685.353.577-B;20;AR;A1
Dario Tachelli;514.246.945-B;20;HS;B2
Michelle Nogueira Marchetti Goncalves Mantovani;313.205.546-Z;20;HL;A1
George Lotufo Pedrosa Penha;453.479.770;17;EE;A1
Guilhermina Correia Simoes Pereira;595.405.714-Y;20;AC;C1
Candido Starkey;188.605.362-Y;15;MA;B1
Thiago Soler;184.938.124-B;15;EE;C1
Maria Cristina de Oliveira Xavier Zeppelin Ferraz;206.854.859;17;NL;B2
Pedro Pinto;157.405.370;17;EC;B1
Tiago di Giorgio Faria Dias Russeldorf;711.258.510;15;NL;A2
Jorge Coutinho;224.843.860-C;17;EM;B1
Alda Tagliari;545.616.363;20;EA;A1
Zildo da Mata Parente;372.831.487-Z;17;BE;B1
Giordano Silverio Saboia Saboia Romano;760.644.379;19;HL;C2
Elisa Souza Ramirez;280.864.191;17;EM;C1
Mario Sergio Archangelo Macedo Santini;266.429.682-B;18;CC;C2
Regina Mamede;421.296.413;18;MA;C1
Vagner Mussel;591.229.483-A;15;CC;C1
Giordano Goes Santos Delmiro Agostinho;713.708.172-Y;16;AC;A1
Joana Luiza Pinheiro;388.668.720-Z;18;NH;C1
Marcia Liberatori;660.496.151-C;17;SL;B1
Luiz Ignacio Candido;995.766.785;15;FB;B1
Tiago Cabral;822.236.985;15;CC;A2
Valdivino Oliveira Russeldorf;787.588.589;15;FB;B1
Fabio Carvalho;832.567.803-B;15;FL;C1
Patrick Carvalhaes di Giorgio;889.627.619-A;15;EM;B2
Maria Carolina Burrel dos Santos Pinheiro Tucunduva;982.954.668;16;EC;B2
Cristian Carvalhaes;894.802.331-C;19;EC;B1
Martin da Silva Brescianni;863.183.772-C;19;AR;B2
Eulalia Nakamura;514.547.320;20;EC;A1
Juliana Cirne;126.162.151;19;EM;C2
Joao Carlos Pinheiro;517.565.738-Y;15;FL;B1
Volnei Tartini;527.123.294-A;17;ML;C2
Sergio Ferracini;91.462.137-Y;18;AC;C2
Samuel Marini;536.411.766-A;20;MB;A2
Heraldo Melo Maciel Favero Pedrosa;538.244.534-Z;19;FL;C1
Rafaela Aquino;439.506.856;16;EE;B1
Bertha Delmiro Takamoto Ramos;191.834.905-C;20;SL;B1
Vitorina da Mata;250.567.978-B;16;ML;A2
Juliana Xavier;461.286.228;19;MC;C2
Luiz Ignacio Mendonca;537.364.724;20;NH;B2
Joao Luiz Silva;277.702.850;20;HS;B2
Carlota Sampaio Soler;385.640.776-X;19;AC;A1
Ariovaldo Salazar Starkey;790.407.803-A;15;NA;B1
Cecilia Guedes Silva Pinto Camillo;877.691.406-B;20;AC;C1
Josefina Takamoto;264.386.976;17;HL;C2
Ernesto Bressan Pereira;303.569.383;15;FB;A1
Olivio Rupini Candido;45.654.752;19;MB;B1
Willian Melo;373.427.765;16;FB;A2
Albertina Gatti;849.531.435;19;SL;B1
Jorge Melo Zeppelin Romancini van der Graaf;116.354.603-B;15;SL;A2
Marta Guedes de Andrade;15.483.856;17;BE;C2
Jorge Correia Matsumoto Nunes;816.615.248-A;19;AC;B1
Luiz Carlos Mussel Camara;257.535.649;20;MC;B2
Olivio Maciel;851.697.139;17;EA;A1
Vitoria Fleury;294.631.844-Y;16;FL;C2
Isabel Felix;598.363.596-B;18;EC;C2
Mauricio Andrade de Abreu Prates;661.608.979-C;18;MC;C2
Ramona Lessa Rocha;75.391.321-Y;19;NL;A1
Carlota Amaral Camara;275.371.216;18;SL;A2
Daniel Carvalhaes Teixeira Yakoub;296.818.961;17;ML;B2
Albertina Bruni Nakamura;786.652.466-C;18;AC;C1
Joao Luiz Segall;714.278.917-B;16;EM;B1
Francisco Amaral Ferracini Nogueira;128.134.155;17;FB;B2
Ramon Amaral;909.809.179;16;EE;B1
Lavinia Sampaio;606.219.512;19;EA;B1
Daniel Camillo;873.927.402;16;BE;A2
Patrick Penna Santana;709.128.166;20;SL;A1
Bruno Burrel;133.606.577-C;15;NA;A1
Jose Renato Prates de Abreu Oliveira Camara;701.468.881-C;15;AC;B2
Maria Cecilia Takamoto Magalhaes Geraldo Romancini;943.734.383-Y;20;FB;C1
Samuel Starkey Auerbach;823.502.457;15;HS;C1
Ramon Martins Borghetti Russeldorf Corracini;38.159.703;20;EC;C2
Jose Carlos di Giorgio Vicentini dos Reis;648.724.455-B;17;AC;B2
Aloisio Cadete;246.714.835-Z;19;ML;B2
Mayanna Fujimori Santos;886.719.599;18;ML;B1
Rafaela Conti Segall Leite Almeida;817.740.999-X;19;BE;B1
Mayanna Correia;108.463.624;20;HL;C2
Martin Cunhado Carmignani;438.582.782-A;17;MC;C1
Ivanildo Fujimori Goncalvez Figueiredo;32.390.613-C;19;EA;A2
Marcos Goncalvez Rochester;857.709.643;16;NA;B1
Guilherme Guedes;138.200.173;16;EE;C1
Juliana Vicentini;483.447.441-Z;19;NH;A2
Renata Rochester;810.569.650;15;FL;B1
Aloisio Mantovani;164.220.446;18;EA;C1
Lucas Pereira;639.340.992-C;20;FB;A2
Izis Yakoub;532.570.422-Z;19;NL;A1
Francisco Takamoto dos Reis;550.801.531-Z;16;SL;A1
Patrick Motoyama Pereira;662.600.319;15;MB;C2
Marcos Madeira;845.469.312;20;EA;B2
Tomas Carvalhaes;945.493.466-Y;16;FB;C2
Alberto Corsini;687.427.885-Z;20;CC;B1
Leandro Marcondes Romano;70.344.445-B;16;AC;A2
Tiago Cabral Martins dos Afonsos;12.953.518;17;EE;C2
Regina Salazar Xavier;929.341.325-C;20;FL;B2
Alda Brescianni Pereira Santini;903.349.493-C;15;AR;A2
Flavio Caetano;664.290.579;15;NL;A1
Joana Luiza Goncalvez Penha;597.926.104-X;15;EQ;A1
Luiz Ignacio Gatti Maciel;954.412.943-A;15;HL;C1
Petra Zeppelin;809.142.610;15;NN;C2
Divina Mantovani;435.770.119;16;EQ;C1
Elisa Americano;100.799.807;19;MB;C1
Nilson Santos Americano;694.274.655-B;19;CC;B1
Vagner Boldrini;884.748.978-Y;16;CC;C2
Joao Pedro Harrison;546.818.893-Z;18;HL;A1
Vanda Liberatori Rocha;23.732.895-C;15;MA;C2
Jose Pedro Oliveira;883.824.357-Y;18;MC;A1
Marco Prates Wander;600.229.402;19;ML;B1
Maura Junqueira Archangelo;228.346.759-X;15;HL;A2
Johnny Lacerda;832.457.866-X;20;FB;C2
Sergio Lotufo;384.800.559;18;NL;A2
Aline de Abreu;969.656.924;16;EA;C2
Ramon Ferraz;464.593.721-B;17;HS;B1
Vagner Tachelli Mangini;352.943.891;17;HS;C1
Adoniram Yamamoto dos Afonsos Harrison Bartolini;855.752.673-B;16;NA;A2
Maria Carolina Carmignani;971.228.598;15;SL;C1
Petra Andrade Correia;881.480.764-Y;18;HS;B1
Valdivino Pinto Palma Cunhado;402.959.638;20;BE;C1
Lucas Correa;636.901.814-X;16;ML;A1
Thiago Wander Camillo;366.677.204-C;15;EA;C1
Ernesto Prates Maciel Bergamo;142.402.944-Z;16;MB;B2
Guilherme do Monte Harrison Lessa;66.801.811-Z;20;AR;A2
Rosana Salazar del Vecchio;538.645.355;18;EQ;A2
Geraldo Ferro Silverio;95.406.332-Y;19;EE;C1
Fabiano Romancini Santos;78.319.753;18;HL;C2
Marta Harrison;629.794.708;20;ML;C2
Davi Juliani Abravanel;865.856.820-X;15;AR;C2
Eulalia Aquino Segall Matsumoto Matsui;792.300.839-Z;15;ML;B2
Ramon Leite;592.522.533;17;EC;B2
Heraldo Penna Penna Pedrosa;657.128.827-A;17;MC;A1
Lorella Pinheiro;842.729.844-Y;20;ML;C2
Renata Jurgensen Madeira;969.522.683-C;19;HS;C2
Guilhermina Vicentini Pini;858.260.346;18;SL;C1
Leandro Romancini Lacerda;410.800.650;20;EE;B2
Isabela Ferracini;441.494.780-C;15;EA;B2
Jose Roberto Camillo;3.157.835;19;NL;A1
Sergio Amaral dos Afonsos;81.569.696-B;16;MB;C1
Andreia Fonseca;162.330.276-Z;15;NN;A2
Petra Moreira Cascudo Brescianni Rupp;50.402.703;17;NL;A2
Ramona Vicentini;377.328.530-B;18;AR;B1
Vanda Prates;139.733.316;15;NH;B2
Vanderson Rupp;976.718.578-C;17;EM;A1
Divina Melo;162.653.901-B;19;HS;A2
Evair Rupp;475.927.469;16;AR;C1
Senor Tanaka;22.827.619;19;MB;C1
Antonio Candido Faria dos Santos Mendonca;388.477.580;20;CC;B2
Severino Rocha Doval Zeppelin;411.643.847;18;ML;B1
Rosiane Mussel Santini Berger;190.533.480-C;17;CC;A2
Marcelo Madeira Vicentini Correa;919.832.889-B;15;HS;C2
Edivaldo Figueiredo Romano Simionato;454.890.411-B;18;MA;B2
Geraldo Tanaka;605.878.268-B;15;AC;B1
Carla Henriques Nunes Tucunduva Almeida;291.958.853-C;15;NH;C2
Candida Nunes Santini;641.856.926-X;19;MA;C2
Alberta da Silva;940.371.312-Y;17;FL;C2
Joao Marcos Lacerda Brescianni Bergamasco dos Afonsos;860.700.294;15;NH;C1
Elisa Palma;502.993.346;17;FL;A1
Luiz Antonio Simoes;392.691.613;15;NA;C2
Renata Goncalves;458.511.720-Z;17;EQ;A1
Heraldo Almeida Rocha Silva Pinto;577.543.725-Z;19;NL;C1
Edilene Andrade Mamede;954.184.936-B;16;HS;C2
Mayanna Yamamoto;591.273.752;19;EM;C2
Valdivino Fujimori Soler Prates Santini;526.565.281-C;20;HS;A1
Rosana Archangelo;626.308.500-C;20;EA;C1
Luiza Takamoto;218.772.194-B;18;FL;B1
Michel Romano Mangini Caetano;841.427.451;16;NN;B2
Jorge Penha Levi;782.285.677;20;MC;A1
Marcela Agostinho;804.733.971;17;NN;B1
Ana Renata Mandell Liberatori Mendonca Amaral;305.911.194-X;15;ML;C2
Joana Luiza Bruni;63.935.324;16;EM;B1
Ricardo Ramirez Yamamoto;916.729.264-X;17;EA;B1
Renata Andrade;294.325.877;19;AR;B2
Joao Pedro Vicentini Magalhaes;439.569.799;17;EE;B2
Maria Benta Carboni Ramirez;948.818.660-B;15;NA;B1
Jose Maria dos Reis;687.109.993-A;15;FL;B1
Carla Cadete;478.949.230;16;EM;C1
Livia Correia Almeida;343.753.568-Z;20;CC;A1
Evair Bergamo;88.956.145;17;NN;C2
Josefina Nakamura;560.239.970-A;15;BE;B2
Graca Tanaka Teixeira;183.116.551-C;19;HS;A1
Ariovaldo Magalhaes;124.608.401;20;MC;B2
Bruna Mandell;314.729.308-X;17;FB;C1
Edvaldo Harrison Favero Silverio Giannini;245.573.662-Y;19;HL;A2
Jose Lotufo;961.449.632-X;17;EQ;C1
Heraldo Penna Penna Pedrosa;657.128.827-A;17;MC;A1
Joao Marcos Portinari Pini;148.414.322;17;HL;C1
Antonio Candido Bruni;869.181.256-C;16;NH;B2
Isabela Penna Berger;917.114.702-X;15;AC;B2
Isabela Pinto;406.963.919-C;17;MC;B2
Marco Magalhaes Motoyama;174.476.486;17;CC;B1
Graca Aquino;705.338.165;16;MB;B1
Osvaldo Favero;79.165.415;20;MA;C1
Nilson Carboni;378.528.676-C;18;EC;B2
Edson Coutinho Carvalhaes;538.708.204;17;EE;A1
Joana Luiza Mamede;25.113.848;19;NH;A1
Maria Elisa Matsumoto Faria Henriques Mandell;209.739.247-Z;18;AR;B1
Maicol Wander Pedrosa;456.702.896;16;AR;C2
Adoniram Maciel;784.930.256-X;18;BE;C2
Flavio Camara;603.205.242;16;MC;C1
Jose Maria Brescianni;283.810.499-A;16;FL;B1
Agnes Tucunduva Goncalvez Oliveira Carboni;966.121.342-Z;15;EE;C1
Thiago Camillo Ramirez;46.102.930-Y;16;NH;A2
Evandro da Mata;720.802.657-Z;19;FB;A2
Marcelo Marini Ferraz Rocha Ferro;801.273.262;15;FB;C1
Jose Roberto Silva;430.442.939;17;FL;A2
Romao Juliani;962.780.276-B;20;MB;C2
Isabel Russeldorf Wander;269.394.652-Z;19;EA;C2
Alberto Juliani Santos;405.788.530;19;MC;B2
Giordano da Silva Marchetti;277.651.662;20;BE;C1
Maria Luiza Penha;978.372.470-C;15;EM;A2
Candida Rochester Corracini Fagundes;64.550.912-B;16;NH;C2
Juliano Candido Prates Goncalvez;76.142.322;17;AC;A1
Danilo Candido Bresciani;521.705.434-B;17;HS;A2
Isabela Passarelli Camara Camillo;469.606.364-C;20;BE;A1
Mayanna do Monte;832.295.951-X;20;ML;B2
Silverio dos Reis Geraldi Bruni;239.938.245;16;MB;B2
Carlos Jose Corracini;363.282.442-Y;16;AR;C1
Aldo Sampaio dos Santos;523.206.724;15;EA;C2
Bertha Canal Motoyama do Monte;10.569.619;15;SL;C1
Heraldo Candido van der Graaf Parente;32.696.604-Z;18;HS;A1
Maria Leticia Moreira Penha Rupini;639.622.816;16;EM;B2
Marta del Vecchio Yamamoto Correia;232.668.697;16;MC;A1
Elisa Santana Marcondes;720.869.440;17;EE;B1
Luiz Carlos Conti;720.276.666;16;EE;A2
Ramon Candido Bresciani;820.465.830-Y;16;CC;A1
Regina Bergamo Ferro Geraldo;861.268.533;16;EA;C1
Candida Xavier Caetano Cirne;206.905.624;16;AR;C1
Candida Levi;174.541.554-B;18;AR;C2
Juliana Guedes;427.597.358;15;FL;A1
Maria Cristina di Giorgio di Giorgio;822.947.267;15;HL;A2
Cristina Starkey Henriques Corracini da Mata;29.985.798-B;19;MA;B1
Juliana Cabral Girardi Rupini Mangini;978.327.837;15;NH;C2
Jose Roberto Correa Ferracini;368.904.760-X;16;MC;C2
Tina de Andrade Silva Pinto Harrison Canal;481.209.254;20;MB;C1
Alice Portinari Ramirez;463.222.143-B;17;NA;A1
Joana di Giorgio Bertoncini;810.499.383-X;15;CC;A1
Leandro Cabral;178.172.409-X;15;ML;C2
Luiz Augusto Jurgensen Bertoni Russeldorf;612.941.910;20;EC;A1
Luiz Antonio Doval Penha;633.569.433-C;15;NN;B1
Vitorina Teixeira;959.732.740-Z;18;EA;C2
Andreia Nunes Dias Tachelli;614.412.786-X;19;MA;C2
Joana Pereira;245.968.200-B;18;AC;B2
Luiza Candido Soler Nunes;427.808.877-C;17;NN;B2
Lucas Zeppelin;361.537.488;16;ML;B2
Ariovaldo Carmignani;236.841.744-A;15;MA;A1
Divina Motoyama Nunes;560.978.820-B;15;FB;C1
Alexandre Pereira;888.651.123;16;FL;B1
Vitorina Magalhaes Tucunduva;749.760.291;16;BE;B2
Carla Souza;435.873.794;18;EC;B1
Leandro Mendonca de Oliveira Mussel;873.851.143-Z;20;CC;B2
Jose Osvaldo Magalhaes;514.862.576;15;EM;B1
Antonio Candido Ramos Lacerda Romancini Conti;769.161.207-Y;20;EC;B1
Maria Cristina Palma de Andrade;681.354.534;15;NN;C2
Maria Luiza Bartolini;933.440.841-Z;19;EQ;B1
Alberto Ferro;72.511.900;15;EM;C1
Edivaldo Agostinho;382.899.766-X;17;SL;A2
Fabio Pedrosa;774.175.498-X;18;AR;B1
Vanda Maia;619.194.883-Y;19;BE;A1
Felipe Tartini Pedrosa;922.985.105;19;AR;B2
Maria Elisa Rochester;87.931.624;19;FL;C2
Gustavo Harrison Faria;203.873.870;16;HS;A2
Rosana Pereira;210.452.866-C;16;BE;A1
Thiago Cascudo;366.716.586-A;17;NA;A1
Zildo Apolinario;737.897.190;18;FB;C2
Rafaela Felix;5.822.890;16;NL;A1
Jose Oliveira;103.395.588-B;16;MA;A1
Jose Roberto Donato Mantovani;168.715.826;17;NN;B1
Gustavo Pinto Parente Mantovani Fujimori;476.236.805;15;SL;B2
Evandro Romano;37.706.416-X;19;NL;C2
Nestor Bartolini;738.732.264-C;17;HL;A2
Juliano Burrel Silva Pinto;932.866.270-Y;15;MC;A2
Joana Luiza Goncalves;15.744.378;16;NL;A2
Olivio Wander;112.428.853;15;HL;B1
